OBJECTID,LINE_NAME,LINE_ID,URL,Shape__Length
129,Port Reading Secondary,108,,90297.6647407991
130,Raritan Valley Line,116,https://www.njtransit.com/pdf/rail/R0060.pdf,270455.162041088
131,Salem Branch,103,,53798.1443963143
132,Millville Industrial,189,,35710.1373716665
133,Southern Running Track,44,,83478.4942839211
134,Lackawanna Cutoff Wye,190,,1071.22670302675
135,Lackawanna Cutoff,9,,144135.440460408
136,Southern Secondary,191,,127876.48756674
137,Staten Island RR,126,,39380.5178752405
138,Washington Secondary,87,,118469.959148103
139,Morristown Line,77,https://www.njtransit.com/pdf/rail/R0060.pdf,321960.981068662
140,Vineland Industrial,188,,17858.3261886593
141,Manville Branch,185,,2983.04852063779
142,Services Branch,192,,7977.24413480073
143,Main Line,68,https://www.njtransit.com/pdf/rail/R0020.pdf,399715.856277161
144,Northeast Corridor Line,85,https://www.njtransit.com/pdf/rail/R0070.pdf,311594.463740455
145,Pascack Valley Line,95,https://www.njtransit.com/pdf/rail/R0010.pdf,125273.531647447
146,West Trenton Line,130,,140597.336007002
